country,country_code,life_expectancy
Aruba,ABW,75.725
Afghanistan,AFG,63.288000000000004
Angola,AGO,61.24100000000001
Albania,ALB,78.17399999999999
Andorra,AND,
Arab World,ARB,70.99454147250891
United Arab Emirates,ARE,77.101
Argentina,ARG,76.415
Armenia,ARM,74.445
American Samoa,ASM,
Antigua and Barbuda,ATG,76.207
Australia,AUS,82.4
Austria,AUT,81.19024390243901
Azerbaijan,AZE,71.921
Burundi,BDI,57.093999999999994
Belgium,BEL,80.9926829268293
Benin,BEN,60.638999999999996
Burkina Faso,BFA,59.927
Bangladesh,BGD,72.155
Bulgaria,BGR,74.6146341463415
Bahrain,BHR,76.76100000000001
"Bahamas, The",BHS,75.527
Bosnia and Herzegovina,BIH,76.735
Belarus,BLR,73.6243902439025
Belize,BLZ,70.192
Bermuda,BMU,81.0121951219512
Bolivia,BOL,68.756
Brazil,BRA,75.28399999999999
Barbados,BRB,75.755
Brunei Darussalam,BRN,77.046
Bhutan,BTN,69.817
Botswana,BWA,65.846
Central African Republic,CAF,51.41
Canada,CAN,82.1290243902439
Central Europe and the Baltics,CEB,76.5910702431929
Switzerland,CHE,82.89756097560979
Channel Islands,CHI,80.958
Chile,CHL,79.315
China,CHN,76.092
Cote d'Ivoire,CIV,53.053000000000004
Cameroon,CMR,57.582
"Congo, Dem. Rep.",COD,59.205
"Congo, Rep.",COG,64.112
Colombia,COL,74.2
Comoros,COM,63.473
Cabo Verde,CPV,72.59899999999999
Costa Rica,CRI,79.634
Caribbean small states,CSS,73.0627324010547
Cuba,CUB,79.57
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,80.344
Czech Republic,CZE,78.57804878048779
Germany,DEU,80.64146341463409
Djibouti,DJI,62.26
Dominica,DMA,
Denmark,DNK,80.7024390243902
Dominican Republic,DOM,73.673
Algeria,DZA,75.86
East Asia & Pacific (excluding high income),EAP,74.33497356951291
Early-demographic dividend,EAR,69.5169409710616
East Asia & Pacific,EAS,75.2489157797136
Europe & Central Asia (excluding high income),ECA,72.5357946123156
Europe & Central Asia,ECS,77.1566342219048
Ecuador,ECU,76.102
"Egypt, Arab Rep.",EGY,71.304
Euro area,EMU,81.5596100692018
Eritrea,ERI,64.63600000000001
Spain,ESP,82.8317073170732
Estonia,EST,77.590243902439
Ethiopia,ETH,65.03699999999999
European Union,EUU,80.6141187762953
