country,country_code,net_migration
Aruba,ABW,1004.0
Afghanistan,AFG,-299999.0
Angola,AGO,0.0
Albania,ALB,-40000.0
Andorra,AND,
Arab World,ARB,-544526.0
United Arab Emirates,ARE,301000.0
Argentina,ARG,24002.0
Armenia,ARM,-24989.0
American Samoa,ASM,
Antigua and Barbuda,ATG,-56.0
Australia,AUS,849966.0
Austria,AUT,99999.0
Azerbaijan,AZE,0.0
Burundi,BDI,20000.0
Belgium,BEL,240000.0
Benin,BEN,-10000.0
Burkina Faso,BFA,-125000.0
Bangladesh,BGD,-2350001.0
Bulgaria,BGR,-24001.0
Bahrain,BHR,235000.0
"Bahamas, The",BHS,5000.0
Bosnia and Herzegovina,BIH,-2506.0
Belarus,BLR,10000.0
Belize,BLZ,6832.0
Bermuda,BMU,
Bolivia,BOL,-50005.0
Brazil,BRA,30000.0
Barbados,BRB,2072.0
Brunei Darussalam,BRN,1760.0
Bhutan,BTN,0.0
Botswana,BWA,15000.0
Central African Republic,CAF,-150000.0
Canada,CAN,1100000.0
Central Europe and the Baltics,CEB,-243005.0
Switzerland,CHE,250000.0
Channel Islands,CHI,3654.0
Chile,CHL,85285.0
China,CHN,-1624595.0
Cote d'Ivoire,CIV,30000.0
Cameroon,CMR,-24000.0
"Congo, Dem. Rep.",COD,119303.0
"Congo, Rep.",COG,-20003.0
Colombia,COL,-147004.0
Comoros,COM,-10000.0
Cabo Verde,CPV,-7392.0
Costa Rica,CRI,16384.0
Caribbean small states,CSS,-119655.0
Cuba,CUB,-109998.0
Curacao,CUW,2573.0
Cayman Islands,CYM,
Cyprus,CYP,25001.0
Czech Republic,CZE,59997.0
Germany,DEU,1850000.0
Djibouti,DJI,4501.0
Dominica,DMA,
Denmark,DNK,75998.0
Dominican Republic,DOM,-151333.0
Algeria,DZA,-50002.0
East Asia & Pacific (excluding high income),EAP,-3408905.0
Early-demographic dividend,EAR,-9215471.0
East Asia & Pacific,EAS,-1410154.0
Europe & Central Asia (excluding high income),ECA,1602472.0
Europe & Central Asia,ECS,6488515.0
Ecuador,ECU,-30776.0
"Egypt, Arab Rep.",EGY,-275000.0
Euro area,EMU,3318998.0
Eritrea,ERI,-49999.0
Spain,ESP,200000.0
Estonia,EST,-4999.0
Ethiopia,ETH,-60001.0
European Union,EUU,4320989.0
Fragile and conflict affected situations,FCS,-2918749.0
Finland,FIN,70000.0
Fiji,FJI,-20000.0
France,FRA,400002.0
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,-6000.0
Gabon,GAB,5000.0
United Kingdom,GBR,900000.0
Georgia,GEO,-50000.0
Ghana,GHA,-100000.0
Gibraltar,GIB,
Guinea,GIN,-50000.0
"Gambia, The",GMB,-13000.0
Guinea-Bissau,GNB,-9995.0
Equatorial Guinea,GNQ,79999.0
Greece,GRC,49996.0
Grenada,GRD,-3497.0
Greenland,GRL,
Guatemala,GTM,-46073.0
Guam,GUM,-2532.0
Guyana,GUY,-24552.0
High income,HIC,14628870.0
"Hong Kong SAR, China",HKG,146542.0
Honduras,HND,-14001.0
Heavily indebted poor countries (HIPC),HPC,-2453870.0
Croatia,HRV,-40000.0
Haiti,HTI,-175000.0
Hungary,HUN,29999.0
IBRD only,IBD,-5886312.0
IDA & IBRD total,IBT,-14456546.0
IDA total,IDA,-8570234.0
IDA blend,IDB,-1704262.0
Indonesia,IDN,-825000.0
IDA only,IDX,-6865972.0
Isle of Man,IMN,
India,IND,-2449998.0
Not classified,INX,
Ireland,IRL,23497.0
"Iran, Islamic Rep.",IRN,-274998.0
Iraq,IRQ,39171.0
Iceland,ISL,1900.0
Israel,ISR,50002.0
Italy,ITA,350000.0
Jamaica,JAM,-93000.0
Jordan,JOR,0.0
Japan,JPN,250000.0
Kazakhstan,KAZ,0.0
Kenya,KEN,-50000.0
Kyrgyz Republic,KGZ,-100001.0
Cambodia,KHM,-149999.0
Kiribati,KIR,-2126.0
St. Kitts and Nevis,KNA,
"Korea, Rep.",KOR,200000.0
Kuwait,KWT,100000.0
Latin America & Caribbean (excluding high income),LAC,-1731412.0
Lao PDR,LAO,-73518.0
Lebanon,LBN,-150000.0
Liberia,LBR,-25000.0
Libya,LBY,-9997.0
St. Lucia,LCA,40.0
Latin America & Caribbean,LCN,-1671839.0
Least developed countries: UN classification,LDC,-5247506.0
Low income,LIC,-3675622.0
Liechtenstein,LIE,
Sri Lanka,LKA,-449999.0
Lower middle income,LMC,-10438795.0
Low & middle income,LMY,-14639694.0
Lesotho,LSO,-19998.0
Late-demographic dividend,LTE,-1098140.0
Lithuania,LTU,-25000.0
Luxembourg,LUX,25001.0
Latvia,LVA,-50000.0
"Macao SAR, China",MAC,25000.0
St. Martin (French part),MAF,
Morocco,MAR,-257096.0
Monaco,MCO,
Moldova,MDA,-14318.0
Madagascar,MDG,-7500.0
Maldives,MDV,9758.0
Middle East & North Africa,MEA,-330734.0
Mexico,MEX,-300000.0
Marshall Islands,MHL,
Middle income,MIC,-10964072.0
"Macedonia, FYR",MKD,-4999.0
Mali,MLI,-200000.0
Malta,MLT,4501.0
Myanmar,MMR,-99998.0
Middle East & North Africa (excluding high income),MNA,-2416237.0
Montenegro,MNE,-2400.0
Mongolia,MNG,-15001.0
Northern Mariana Islands,MNP,
Mozambique,MOZ,-25000.0
Mauritania,MRT,25502.0
Mauritius,MUS,0.0
Malawi,MWI,-60000.0
Malaysia,MYS,250000.0
North America,NAC,5600000.0
Namibia,NAM,-2236.0
New Caledonia,NCL,5664.0
Niger,NER,-28497.0
Nigeria,NGA,-300000.0
Nicaragua,NIC,-106342.0
Netherlands,NLD,80000.0
Norway,NOR,140000.0
Nepal,NPL,-350000.0
Nauru,NRU,
