"","country","idps","country.code"
"1","Afghanistan",1174306,"AFG"
"2","Albania",0,"ALB"
"3","Algeria",0,"DZA"
"4","Angola",0,"AGO"
"5","Anguilla",0,"ANG"
"6","Antigua and Barbuda",0,"ATG"
"7","Argentina",0,"ARG"
"8","Armenia",0,"ARM"
"9","Aruba",0,"ABW"
"10","Australia",0,"AUS"
"11","Austria",0,"AUT"
"12","Azerbaijan",618220,"AZE"
"13","Bahamas",0,"BHS"
"14","Bahrain",0,"BHR"
"15","Bangladesh",0,"BGD"
"16","Belarus",0,"BLR"
"17","Belgium",0,"BEL"
"18","Belize",0,"BLZ"
"19","Benin",0,"BEN"
"20","Bolivia (Plurinational State of)",0,"BOL"
"21","Bosnia and Herzegovina",98324,"BIH"
"22","Botswana",0,"BWA"
"23","Brazil",0,"BRA"
"24","Brunei Darussalam",0,"BRN"
"25","Bulgaria",0,"BGR"
"26","Burkina Faso",0,"BFA"
"27","Burundi",25000,"BDI"
"28","Cabo Verde",0,"CPV"
"29","Cambodia",0,"KHM"
"30","Cameroon",92657,"CMR"
"31","Canada",0,"CAN"
"32","Cayman Islands",0,"CYM"
"33","Central African Rep.",216392,"CAF"
"34","Chad",51999,"TCD"
"35","Chile",0,"CHL"
"36","China",0,"CHN"
"37","China, Hong Kong SAR",0,""
"38","China, Macao SAR",0,""
"39","Colombia",6939067,"COL"
"40","Congo",0,"COG"
"41","Costa Rica",0,"CRI"
"42","Cote d'Ivoire",308272,"CIV"
"43","Croatia",0,"HRV"
"44","Cuba",0,"CUB"
"45","Cyprus",0,"CYP"
"46","Czech Rep.",0,"CZE"
"47","Dem. People's Rep. of Korea",0,"PRK"
"48","Dem. Rep. of the Congo",1555112,"COD"
"49","Denmark",0,"DNK"
"50","Djibouti",0,"DJI"
"51","Dominican Rep.",0,"DOM"
"52","Ecuador",0,"ECU"
"53","Egypt",0,"EGY"
"54","El Salvador",0,"SLV"
"55","Eritrea",0,"ERI"
"56","Estonia",0,"EST"
"57","Ethiopia",0,"ETH"
"58","Fiji",0,"FJI"
"59","Finland",0,"FIN"
"60","France",0,"FRA"
"61","Gabon",0,"GAB"
"62","Gambia",0,"GMB"
"63","Georgia",268416,"GEO"
"64","Germany",0,"DEU"
"65","Ghana",0,"GHA"
"66","Greece",0,"GRC"
"67","Grenada",0,"GRD"
"68","Guatemala",0,"GTM"
"69","Guinea",0,"GIN"
"70","Guinea-Bissau",0,"GNB"
"71","Guyana",0,"GUY"
"72","Haiti",0,"HTI"
"73","Honduras",174000,"HND"
"74","Hungary",0,"HUN"
"75","Iceland",0,"ISL"
"76","India",0,"IND"
"77","Indonesia",0,"IDN"
"78","Iran (Islamic Rep. of)",0,"IRN"
"79","Iraq",4403287,"IRQ"
"80","Ireland",0,"IRL"
"81","Israel",0,"ISR"
