"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24004.8250775309","25754.1313659158","26413.8982447796","27309.9293783934","28528.2740600953","28517.6615187506","28366.9221671817","30072.009563305","30355.2396065518","30595.5707284905","32990.1744343383","32018.720840798","30752.7834560847","31318.03674601","34120.1619961734","35184.5827100153","36355.4383294075","37849.2334813005","38506.0872514052","34682.790124098","33740.87088656","35490.1839843782","35466.7022305227","37330.5182458512","38098.3265934026","38137.3335784175","38365.4460530508","39409.2275320083","",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","860.137133923461","909.862557582314","906.664470315935","1001.41040692471","1052.92448182459","1196.96386262158","1236.87476594352","1474.47947703093","1659.5075507242","1649.15037334293","1832.73463920599","1902.50841007369","1927.08732032823","1918.93845913956","1934.61684034895","1972.17801844618","",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2995.66111641485","3030.93148579556","2825.64574597318","2127.63341242212","2132.40284552834","2428.37337944157","2728.58559180877","2896.9230714261","2983.60948200587","3008.90394203931","3076.63231237634","3174.38339582682","3540.69927102179","3590.40791608855","3949.49377281797","4524.51925266765","5019.8089207696","5669.65352736761","6201.40188212629","6081.32919033157","6228.34291239121","6346.94437233055","6770.66841714073","6970.31360385729","7182.82779837655","7082.24117532182","6756.14413736881","6643.75497179095","",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2608.92643285963","1909.59165657567","1823.52200467469","2058.65452633851","2290.99092734192","2666.24923457703","2980.4474113611","2717.36485892663","3021.0068056465","3471.66172709503","3861.35338261319","4301.33230252253","4661.36614839991","4994.52406577239","5422.77025195427","5865.31050445752","6559.7778957922","7276.30776820991","8228.31816790424","8814.84716030687","9627.93728995906","10207.7188873613","10526.2801264992","10571.0036529401","11259.2797230131","11661.981184261","11890.5003913316","12943.460705263","",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6712.30808102685","6773.16438140044","7152.31039324928","7355.90619544834","7543.04495427978","7672.54423460413","7993.2438758488","8297.74038420061","8697.13544369001","8851.4549712218","9330.32624354422","9511.27222597017","9510.60730017044","9915.2479518762","10882.1788398235","11598.0686267296","12394.9661304891","12985.1423127005","13674.7984442631","13578.1553186601","14066.3352036184","14446.9717450307","15336.0602183901","15705.741552969","16013.7759542617","16362.5312099859","16792.4549183315","16955.4360181289","",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71376.1509096463","70238.3389626642","70093.3665128091","68690.589077969","71084.6420094548","73622.3664005566","75543.4955914706","79158.208181542","76345.0408215982","75758.5673469164","81351.36413921","80029.0284384246","78934.6355195564","82099.8058045712","84604.3423041722","81736.4769237892","80841.0495149973","74271.6814492489","68508.7068152864","58822.146137623","56074.8806872444","58363.6782159597","60513.6197100592","63839.3355752011","67360.3474463876","70887.3907270642","73017.480009563","73878.4676646986","",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7325.68256714308","8145.33283319654","8869.03024088806","9693.96727918434","10342.4762422745","10129.7777926836","10754.198418916","11688.7464014871","12132.5103928877","11769.1499747988","11810.0613643332","11419.0588662652","10217.2730997834","11217.5719276888","12430.7137249452","13817.7140737884","15227.5124961234","16865.5447595212","17711.4417867571","16618.1208523782","18333.5436985461","19629.3518451916","19579.0064837139","20161.4968324254","19802.1000113587","20356.9155095569","20042.5400197144","20784.7683113948","",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2418.86092636919","2227.66945587397","1350.10825140973","1290.47311470914","1422.70977557333","1584.60046971304","1734.65530236427","1843.37854477079","2015.1055748351","2126.91516905879","2318.23807343875","2613.78456721754","3020.45398677047","3531.96864294857","4031.94720413531","4769.48900409301","5607.64586915666","6605.21669618147","7260.96875587368","6323.57833605451","6567.25858179835","7022.10394338388","7649.49140943212","7997.38712834991","8397.09917747652","8727.55832503575","8832.76343454986","9647.4861130568","",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10587.5934146905","11076.6795172064","11272.8253416714","11887.9025498666","12629.8192736122","12012.9071384125","12693.72326202","13247.5747964166","13653.9824319087","14029.0874122026","14987.4110722773","14317.2385586933","14480.0799794187","15479.2218538333","16633.5444564969","18065.8050805752","20747.375649075","22996.7058709434","23162.6858525454","20271.0862229446","18824.0729240119","18605.3165854008","19398.059497247","19480.1168660026","20532.815285372","21364.5928083161","22611.2846490098","23472.30671447","",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17338.467195325","17788.9133777599","18187.7463919887","19121.0973376849","20069.4627780287","20890.1705323848","21962.5230839891","22924.1264031761","24176.0620974682","25250.5128548919","26316.9478781358","27348.1467588511","28706.4378056749","29678.4892945622","31311.6369353764","32539.0815705167","34291.2877576211","36512.5038384729","37409.163067008","40234.4179183421","39274.7642268777","41894.1730524786","42733.9362506181","45794.4042715848","46742.8026541949","46220.2512642307","46144.120814482","48460.04927536","",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19452.4663616687","20585.1530146764","21259.9097212701","21700.7133561647","22607.7419016545","23658.7710808346","24523.8834591077","25412.3675952472","26652.8315743635","27606.4830303088","29375.4047955407","29739.9415290309","31178.6933297272","32106.4660049647","33755.1429267927","35013.7140443423","37627.9709197097","39385.7422696764","41316.225176699","40919.1505775576","42047.0326758635","44452.7327457999","46457.3457770311","47922.0491207455","48787.4915916798","49883.0412977321","50521.4826240632","52397.7543507726","",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5502.43398864153","5558.81841314858","4334.43366410287","3361.03549662054","2719.34022718709","2420.44486439699","2471.58587927038","2634.15863088586","2901.35167222535","3136.09389310517","3534.32914766215","3942.08488219485","4393.96719931842","4945.90791637216","5551.44884183018","7169.15043103855","9830.16260573873","12477.3846859443","13799.7861400733","14900.5086642522","15627.6056198817","15754.1523626148","16180.8871503047","17171.7613655507","17608.3706329028","17782.0261527141","17256.6269704411","17398.1635635792","",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","666.927137204318","707.027398348293","715.082061206287","673.299463175558","650.005934066652","601.739092511832","556.329567776251","550.386912619439","575.791907390859","570.165504286207","567.144518805581","577.986607610976","596.066462340174","582.2424670877","607.144248270912","611.805352557527","642.91188816163","660.081293270406","682.315616875487","690.440883500879","711.396550657824","732.262990100057","755.828927224903","782.311580899853","805.65052430587","759.03210264719","740.517873307965","733.892808027606","",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18768.8069053272","19675.7623159098","20349.5919182412","20552.9262147628","21601.0035461749","22530.1606403708","22886.1256973281","23916.4959435366","24543.9330228651","25642.2616549851","27983.996115916","28982.595089306","30482.7846512136","31054.3053916126","32249.4994641232","33332.3313498604","35390.8535279226","36866.2656285925","38133.5014644659","38001.9909227332","40091.0099912907","41248.725342013","42354.6314854002","43519.7779201761","44601.3671128873","45414.8905975223","46416.8541977185","47840.1971355057","",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","945.37674549935","984.313665015259","1001.08761089962","1047.40474082973","1054.55141005154","1104.63702603924","1137.1082750262","1186.41688112379","1210.44911903842","1256.96239341407","1320.88957456507","1380.62022882486","1422.9540625471","1456.36454516645","1516.43028712892","1545.69826491077","1608.7728866525","1701.20707313632","1768.7446574696","1773.16878347771","1781.98706633659","1820.89469315629","1890.14073032202","2002.10660412662","2108.01604124411","2116.03677458311","2167.27284700858","2271.67541221223","",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","545.726240774682","598.789994606344","597.554226558453","616.027013462832","620.26077867101","651.262450445419","716.11981867236","753.127341340672","794.354172082911","842.120332026115","852.388972667646","903.274517043443","929.931041208174","993.26806080577","1035.52289952551","1127.55874317235","1198.50951694667","1261.416063903","1338.8602973718","1347.57924167077","1394.58472667042","1472.71648241138","1549.4802661889","1616.77927059162","1666.89454400624","1699.87993486578","1771.32195044523","1862.20914581185","",
